"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"D1501","Cause Linked to Device but Unable to Trace More Specifically","Problems traced to the device, but the investigation could not identify the actual root cause (e.g. Design, Manufacturing, Component).","","New","New term/definition added on 21 January 2021. for details, refer to comment No. 30 of the Change Log.","D15|D1501",,,
"D16","Conclusion Not Yet Available","A conclusion has yet to be established as the investigation is incomplete. Do not use this code if the investigation is complete.","","","","D16",,,
"D17","Appropriate Term/Code Not Available","The concluded cause is not adequately described by any other term. Note: This code must not be used unless there is no other feasible code. The preferred term should be documented when submitting an adverse event report. This information will be used to determine if a new term should be added to the code table.","","","","D17",,,
"D18","Cause Traced to Software Coding","Problems traced to an error, flaw or fault in a computer program or system that causes it to produce an incorrect or unexpected result, or to behave in unintended ways.","","New","New term/definition added on 21 January 2021. for details, refer to comment No. 27 of the Change Log.","D18",,,
"G01","Biological and Chemical","Component whose mode of action involves a biological process (ex. test strip which acts on antibodies) and chemical reaction or transformation (ex. activated charcoal absorber).","","Not selectable","Please use more detailed term within the hierarchy","G01",,,
"G01001","Absorber","A component or material designed to take in or attenuate a substance.","","","","G01|G01001",,,
"G01002","Cautery Tip","A component designed to coagulate and seal blood vessels or to destroy tissue with heat or electric current.","","","","G01|G01002",,,
"G01003","Device Ingredient or Reagent","A consumable material that is added to a device and is used to make a finished product or becomes part of a finished product.","","","","G01|G01003",,,
"G01004","Gas Scavenging","A component designed to remove certain gases from a gas stream or environment.","","","","G01|G01004",,,
"G01005","Monomer Liquid","The liquid that reacts with the polymer powder to form adhesive, resin, or cement.","","","","G01|G01005",,,
"G01006","Test Strip","A piece of chemically treated medium designed to react in the presence of specific amounts of a trigger substance.","","","","G01|G01006",,,
"G01007","Polymer Powder","The powder that reacts with the monomer liquid to form adhesive, resin, or cement.","","","","G01|G01007",,,
"G02","Electrical and Magnetic","Components which relates to the force of magnetism or such as microchips and transistors which control and direct electric currents. Also includes components involved in the representation, storage, or transmission of information by electronic systems.","","Not selectable","Please use more detailed term within the hierarchy","G02",,,
"G02001","Antenna","A component designed to transmit or receive electromagnetic signals.","","","","G02|G02001",,,
"G02002","Battery","A component designed to produce an electric current through chemical reaction.","","","","G02|G02002",,,
"G02003","Battery Charger","A device designed to restore the capacity of a battery.","","","","G02|G02003",,,
"G02004","Cable, Electrical","A long, thin, multistranded electrical wire designed to carry signals or power over a distance.","","","","G02|G02004",,,
"G0200401","Cable Grip","Component used for tensioning, pulling or stringing of wires and cables.","","","","G02|G02004|G0200401",,,
"G0200402","Cable Sleeve","Component used to protect cables and wires from abrasion, moisture and the elements.","","","","G02|G02004|G0200402",,,
"G02005","Circuit Board","A non-conducting board with conductive tracks and electronic components forming a circuit.","","","","G02|G02005",,,
"G02006","Circuit Breaker","A component designed to open an electrical circuit when it becomes overloaded.","","","","G02|G02006",,,
"G02007","Computer Hardware","The physical components from which a computer is constructed (electronic circuits and input/output devices).","","","","G02|G02007",,,
"G0200701","Computer Processor","Component that carries out the instructions of a computer program by performing the basic arithmetic, logic, controlling, and input/output operations specified by the instructions.","","","","G02|G02007|G0200701",,,
"G0200702","Memory/Storage","Any component that can hold data in machine-readable format.","","","","G02|G02007|G0200702",,,
"G0200703","Network Interface","Point of interconnection between a computer and other computer that are linked each other.","","","","G02|G02007|G0200703",,,
"G02008","Computer Software","A collection of data or computer instructions that tell the computer how to work.","","","","G02|G02008",,,
"G0200801","Driver","A computer interface designed to control the interaction between a CPU and a peripheral device.","","","","G02|G02008|G0200801",,,
"G0200802","Software Interface","Languages, codes and messages that programs use to communicate with each other and to the hardware.","","","","G02|G02008|G0200802",,,
"G0200803","User Interface","A computer program that controls the interaction between a user and a system.","","","","G02|G02008|G0200803",,,
"G02009","Cooling Module","A component designed to lower the temperature of a device or system.","","","","G02|G02009",,,
"G02010","Device Programmer","A piece of hardware for transferring data onto programmable integrated circuits.","","","","G02|G02010",,,
"G02011","Device Reader","A piece of hardware used to read the memory and the properties of a device.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","G02|G02011",,,
"G02012","Discrete Electrical Component","An electrical component which is just one circuit, either passive or active, that is not an integrated circuit.","","","","G02|G02012",,,
"G0201201","Capacitor","An electrical component designed to store an electric charge.","","","","G02|G02012|G0201201",,,
"G0201202","Fuse","An electrical component designed to stop the flow of current when an overload condition exists.","","","","G02|G02012|G0201202",,,
"G0201203","Inductor","A component designed to introduce electromotive force to a circuit, usually a coil surrounding a wire.","","","","G02|G02012|G0201203",,,
"G0201204","Resistor","An electronic component that opposes the flow of current.","","","","G02|G02012|G0201204",,,
"G0201205","Solenoid","An electronic component consisting of a coil surrounding a movable iron core that is designed to act as a switch or relay.","","","","G02|G02012|G0201205",,,
"G0201206","Transducer","An electrical component that converts one form of energy into another.","","","","G02|G02012|G0201206",,,
"G0201207","Semiconductor","A type of electronic component, including transistors and diodes, that make use of the variable conductivity of certain materials.","","","","G02|G02012|G0201207",,,
"G02013","IC (Integrated Circuit) Chip","A microelectronic circuit that incorporates many interconnected transistors and other components.","","","","G02|G02013",,,
"G02014","Display","A component designed to present information visually. In the case of Touchscreen, use G0204004.","","","","G02|G02014",,,
"G0201401","Indicator","A component designed to show an operating condition of a system or to attract attention.","","","","G02|G02014|G0201401",,,
"G0201402","Screen","A panel or area on an electronic device where images and data are displayed.","","","","G02|G02014|G0201402",,,
"G02015","Electrical Lead/Wire","A coated or uncoated wire used to connect two locations electronically. Not to be used for patient connection.","","","","G02|G02015",,,
"G0201501","Electrode","A small piece of metal or other conductive substance this is used to take an electric current to or from a source of power, a piece of equipment. Not to be used for patient connection.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","G02|G02015|G0201501",,,
"G0201502","Ground Strap/Wire","A wire cable or strap designed to carry current safely away from an electronic device under fault condition","","","","G02|G02015|G0201502",,,
"G0201503","Wiring Harness","A collection of grouped wires or cables designed to connect to a specific device.","","","","G02|G02015|G0201503",,,
"G02016","Electrical Mixer","An electronic component designed to blend signals.","","","","G02|G02016",,,
"G02017","Electrical Port","An electronic circuit that acts as a connection to another device or component.","","","","G02|G02017",,,
"G02018","Emitter","The electron source electrode in a transistor or any source in a system.","","","","G02|G02018",,,
"G02019","Headphone/Headset","A component that covers the ear through which you can listen to without other people hearing. Some headphones come with a microphone which is used to communicate with other people or the device.","","","","G02|G02019",,,
"G02020","Heater","A piece of equipment used to raise the temperature of air, gas or water or an object.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","G02|G02020",,,
"G02021","Hub","An electronic component designed as a central connection for other devices or components.","","","","G02|G02021",,,
"G02022","Inverter","An electrical component that converts direct current to alternating current.","","","","G02|G02022",,,
"G02023","Magnet","A component that attracts iron and produces a magnetic field.","","","","G02|G02023",,,
"G02024","Oscillator","An electronic component designed to produce a wave signal.","","","","G02|G02024",,,
"G02025","Patient Lead","An insulated electrical cable designed to connect to an electrical device to a patient.","","","","G02|G02025",,,
"G0202501","Lead Conductor","A cable designed to conduct electricity from the device to the lead.","","","","G02|G02025|G0202501",,,
"G0202502","Patient Electrode","An electrical conductor that is designed to make contact with a patient including defibrillator paddles.","","","","G02|G02025|G0202502",,,
"G02026","Power Cord","A flexible cable designed to connect an electrical device to a power outlet.","","","","G02|G02026",,,
"G02027","Power Supply","Component designed to supply electrical power to devices.","","","","G02|G02027",,,
"G02028","Pressure Transducer Probe","A probe component designed to convert a change in pressure into a varying electrical signal.","","","","G02|G02028",,,
"G02029","Printer","An electronic component that is designed to transfer text or images to paper or other substrate.","","","","G02|G02029",,,
"G02030","Receiver","An electronic component designed to capture an incoming electromagnetic signal and convert it to an audible or visual signal.","","","","G02|G02030",,,
"G02031","Receiver Stimulator Unit","As part of a cochlear implant, an implanted component designed to receive signal from the external component and then decode the signal and transmit it to the brain.","","","","G02|G02031",,,
"G02032","Scanner","An electronic component that generates a digital representation of an image for data input to a computer; or a receiver designed to search for a signal within a specified frequency range.","","","","G02|G02032",,,
"G02033","Speaker/Sounder","A component designed to convert electrical signals to sounds that can be heard.","","","","G02|G02033",,,
"G02034","Switch/Relay","A mechanical or electronic component designed to break or change the connections in a circuit (e.g. button).","","","","G02|G02034",,,
"G0203401","Power Switch","A switch designed to regulate the power to a device.","","","","G02|G02034|G0203401",,,
"G0203402","Relay","A electronic component designed to break or change the connections in a circuit.","","","","G02|G02034|G0203402",,,
"G02035","Telemetry","Component designed to transmit and receive data from a remote source using telecommunications methods.","","","","G02|G02035",,,
"G02036","Temperature Compensator","A component designed to compensate the temperature of one system in response to temperature changes in another system or the environment.","","","","G02|G02036",,,
"G02037","Thermostat","A component designed to regulate temperature by controlling the starting and stopping of a heating/cooling system.","","","","G02|G02037",,,
"G02038","Transformer","A component that either steps up or steps down an alternating electrical current to an output that is suitable for another electrical device or component.","","","","G02|G02038",,,
"G02039","Transmitter","A component to propagate electromagnetic waves.","","","","G02|G02039",,,
"G02040","User Input Device","A component that uses a movable handle to create two-axis input to a computer.","","","","G02|G02040",,,
"G0204001","Joystick","A control component that uses a movable handle to create two-axis input to a computer.","","","","G02|G02040|G0204001",,,
"G0204002","Keyboard/Keypad","A component consisting of mechanical keys that are pressed to create input to a computer.","","","","G02|G02040|G0204002",,,
"G0204003","Microphone","A component designed to convert sound to an electrical signal.","","","","G02|G02040|G0204003",,,
"G0204004","Touchscreen","A control component that operates the device following pressing the display on the screen.","","","","G02|G02040|G0204004",,,
"G03","Measurement","Component capable of measuring something in order to obtain a result.","","Not selectable","Please use more detailed term within the hierarchy","G03",,,
"G03001","Analyzer","Any component designed to perform an analysis.","","","","G03|G03001",,,
"G0300101","Oxygen Analyzer","A component designed to measure the concentration of oxygen in a gas mixture.","","","","G03|G03001|G0300101",,,
"G03002","Aperture","An instrument designed to measure the size of an opening or one used to increase the diameter of an opening","","","","G03|G03002",,,
"G03003","Calibrator","A standard or reference material used to set the operating parameters of an instrument.","","","","G03|G03003",,,
"G03004","Clock","A component designed to indicate the time of day.","","","","G03|G03004",,,
"G03005","Counter","A component designed to keep track of the number of times something happens.","","","","G03|G03005",,,
"G03006","Cuvette","A clear container designed to interface with an optical sensor in order to obtain an optical measurement of a contained substance.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","G03|G03006",,,
"G03007","Gauges/Meters","A component designed to give a visual indication of the condition of a system.","","","","G03|G03007",,,
"G0300701","Flowmeter","A component designed to measure the flow rate of a fluid.","","","","G03|G03007|G0300701",,,
"G0300702","Manometer","A component designed to measure pressure.","","","","G03|G03007|G0300702",,,
"G0300703","Thermometer","A component designed to measure temperature.","","","","G03|G03007|G0300703",,,
"G03008","Marker","A visual indicator of position, place or route, including radiopaque markers.","","","","G03|G03008",,,
"G03009","Pipette","A measuring component, traditionally including a graduated tube, designed for the accurate transfer of liquid volumes.","","","","G03|G03009",,,
"G03010","Pointer","An indicator component designed to show a position on a scale.","","","","G03|G03010",,,
"G03011","Scale","A component designed for weighing or an indicator component with a graduated sequence of divisions.","","","","G03|G03011",,,
"G03012","Sensor","A component designed to respond to a stimulus by generating a signal that can be measured or interpreted.","","","","G03|G03012",,,
"G0301201","Bubble Sensor","A component designed to signal the presence of bubbles in a system.","","","","G03|G03012|G0301201",,,
"G0301202","O2 Sensor","A sensor designed to respond to the presence or level of oxygen in a space or environment.","","","","G03|G03012|G0301202",,,
"G0301203","Photodetector","A component designed to detect light.","","","","G03|G03012|G0301203",,,
"G0301204","Pressure Sensor","A sensor designed to respond to the level of pressure in a space or pressing on a surface.","","","","G03|G03012|G0301204",,,
"G0301205","Sensor Probe","A component designed to reach into a location for sensing. Should be used when the problem involves the probe, not the sensor.","","","","G03|G03012|G0301205",,,
"G0301206","Temperature Sensor","A sensor designed to respond to the temperature of a space, surface, or environment.","","","","G03|G03012|G0301206",,,
"G03013","Timer","A component designed to measure a time interval.","","","","G03|G03013",,,
"G04","Mechanical","Component of a device when it is working, often using power from an engine or from electricity.","","Not selectable","Please use more detailed term within the hierarchy","G04",,,
"G04001","Access Port","A component designed for the introduction or removal of medical equipment or any substance.","","","","G04|G04001",,,
"G04002","Actuator","A component which moves or controls a mechanism or system.","","","","G04|G04002",,,
"G04003","Adapter (Adaptor)","A component designed to make different pieces of apparatus compatible.","","","","G04|G04003",,,
"G04004","Air Eliminator","A component designed to remove air from a space or fluid.","","","","G04|G04004",,,
"G04005","Anchor","A component designed to fix the device or a portion of the device in place.","","","","G04|G04005",,,
"G04006","Applicator","A component designed to transfer a substance to a surface.","","","","G04|G04006",,,
"G04007","Automatic Injection System","A system designed to pump a gas or liquid into a space or environment without outside intervention.","","","","G04|G04007",,,
"G04008","Bag","A flexible container, often with a single opening.","","","","G04|G04008",,,
"G04009","Ball","Any component that is spherical in shape.","","","","G04|G04009",,,
"G04010","Balloon","A sac designed to be inflated and deflated.","","","","G04|G04010",,,
"G04011","Bearings","A point of contact between moving parts designed for support or to reduce friction.","","","","G04|G04011",,,
"G04012","Bellows","A component that expands and contracts to draw in air through a valve or orifice and expels it through a tube.","","","","G04|G04012",,,
"G04013","Belt","A component consisting of a narrow band of material moving over shafts or pulleys.","","","","G04|G04013",,,
"G04014","Bottle","A rigid or semi-rigid container used to store liquid.","","","","G04|G04014",,,
"G04015","Breathing Circuit","In an anesthesia machine, the pathway by which a gaseous anesthetic agent and oxygen are delivered to the patient and carbon dioxide is removed. The circuit can be open or closed.","","","","G04|G04015",,,
"G04016","Brush","A component consisting of hairs or bristles set into a handle or holder.","","","","G04|G04016",,,
"G04017","Bushing","A cylindrical metal sleeve designed to reduce the friction of a rotating shaft.","","","","G04|G04017",,,
"G04018","Cable, Mechanical/Structural","A long, thin, multistranded rope or metallic wire to hold the subject.","","","","G04|G04018",,,
"G04019","Cannula","A rigid or semi-rigid tube inserted into the body.","","","","G04|G04019",,,
"G0401901","Cannula Hub","A metal or plastic component that connects to the cannula.","","","","G04|G04019|G0401901",,,
"G04020","Cap","A component designed to close an opening of a container or device.","","","","G04|G04020",,,
"G04021","Carrier","A component designed to facilitate the support, movement, or transport of another device or object.","","","","G04|G04021",,,
"G04022","Caster","A pivoting roller or wheel designed to attach to an object to make it movable.","","","","G04|G04022",,,
"G04023","Catheter","A flexible tube inserted into the body designed to permit injection or withdrawal of fluids or to keep passage open.","","","","G04|G04023",,,
"G0402301","Catheter Hub","A small metal or plastic component that connects to the catheter.","","","","G04|G04023|G0402301",,,
"G04024","Cell","A component that is designed as a container to collect and/or transfer materials, reagents or specimens.","","","","G04|G04024",,,
"G04025","Chain","Assembly of interconnected links, typically made of metal used for connecting other components.","","","","G04|G04025",,,
"G04026","Chamber","A component designed as a reservoir/storage.","","","","G04|G04026",,,
"G04027","Chassis/Frame","A supporting frame designed to hold other components or devices such as the internal frame of an electronic device.","","","","G04|G04027",,,
"G04028","Clutch","A component that engages and disengages power transmission.","","","","G04|G04028",,,
"G04029","Coating Material","A layer of material covering the surface of a device.","","","","G04|G04029",,,
"G04030","Coil","A structure consisting of something wrapped in a continuous series of loops.","","","","G04|G04030",,,
